threshold,precision,recall,f1,predicted_positive_count
0.4,0.3322324966974901,0.8539898132427843,0.47836424155967666,1514
0.41,0.3394934976043806,0.8421052631578947,0.48390243902439023,1461
0.42,0.34385964912280703,0.831918505942275,0.48659384309831183,1425
0.43,0.35090252707581226,0.8251273344651953,0.49240121580547114,1385
0.44,0.3560830860534125,0.8149405772495756,0.49561177077955604,1348
0.45,0.36314984709480125,0.8064516129032258,0.5007907221929362,1308
0.46,0.3666927286942924,0.7962648556876061,0.5021413276231264,1279
0.47,0.37409493161705554,0.7894736842105263,0.50764192139738,1243
0.48,0.3747940691927512,0.7724957555178268,0.50471436494731,1214
0.49,0.3756388415672913,0.7487266553480475,0.5002836074872377,1174
0.5,0.37797356828193834,0.7283531409168081,0.4976798143851508,1135
0.51,0.3814713896457766,0.7130730050933786,0.4970414201183432,1101
0.52,0.38878504672897196,0.7062818336162988,0.5015069318866787,1070
0.53,0.39147286821705424,0.6859083191850595,0.4984577421344849,1032
0.54,0.396,0.6723259762308998,0.4984266834487099,1000
0.55,0.40124740124740127,0.6553480475382003,0.4977433913604126,962
0.56,0.40458015267175573,0.629881154499151,0.49269588313413015,917
0.57,0.40940366972477066,0.6061120543293718,0.4887063655030801,872
0.58,0.4188351920693928,0.5738539898132428,0.48424068767908307,807
0.59,0.4318801089918256,0.5382003395585738,0.47921390778533635,734
0.6,0.4436416184971098,0.5212224108658744,0.47931303669008585,692
0.61,0.4599686028257457,0.49745331069609505,0.47797716150081565,637
0.62,0.4699828473413379,0.46519524617996605,0.46757679180887374,583
0.63,0.4981203007518797,0.44991511035653653,0.4727921498661909,532
0.64,0.5253863134657837,0.40407470288624786,0.45681381957773515,453
0.65,0.5549872122762148,0.3684210526315789,0.44285714285714284,391
0.66,0.5865102639296188,0.3395585738539898,0.43010752688172044,341
0.67,0.6208053691275168,0.3140916808149406,0.41713641488162345,298
0.68,0.6313868613138686,0.2937181663837012,0.40092699884125144,274
0.69,0.675,0.27504244482173174,0.390832328106152,240
0.7,0.6728971962616822,0.24448217317487267,0.3586550435865504,214
0.71,0.7098445595854922,0.23259762308998302,0.35038363171355497,193
0.72,0.7349397590361446,0.2071307300509338,0.32317880794701986,166
0.73,0.7465753424657534,0.18505942275042445,0.2965986394557823,146
0.74,0.7651515151515151,0.17147707979626486,0.2801664355062413,132
0.75,0.7818181818181819,0.1460101867572156,0.24606580829756797,110
0.76,0.7916666666666666,0.12903225806451613,0.22189781021897811,96
0.77,0.810126582278481,0.10865874363327674,0.19161676646706588,79
0.78,0.7936507936507936,0.08488964346349745,0.15337423312883436,63
0.79,0.8333333333333334,0.06791171477079797,0.12558869701726844,48
0.8,0.90625,0.04923599320882852,0.09339774557165861,32
0.81,0.9166666666666666,0.03735144312393888,0.07177814029363784,24
0.82,1.0,0.022071307300509338,0.04318936877076412,13
0.83,1.0,0.011884550084889643,0.02348993288590604,7
0.84,1.0,0.010186757215619695,0.020168067226890758,6
0.85,1.0,0.0050933786078098476,0.010135135135135136,3
0.86,1.0,0.003395585738539898,0.00676818950930626,2
0.87,1.0,0.003395585738539898,0.00676818950930626,2
0.88,0.0,0.0,0.0,0
0.89,0.0,0.0,0.0,0
0.9,0.0,0.0,0.0,0
0.91,0.0,0.0,0.0,0
0.92,0.0,0.0,0.0,0
0.93,0.0,0.0,0.0,0
0.94,0.0,0.0,0.0,0
0.95,0.0,0.0,0.0,0
